county,precinct,office,district,party,candidate,votes
Wayne,14,Secretary of State,,DEM,Natalie Tennant,366
Wayne,14,Secretary of State,,LIB,John S. Buckley,32
Wayne,16,Secretary of State,,REP,Mac Warner,97
Wayne,16,Secretary of State,,DEM,Natalie Tennant,149
Wayne,16,Secretary of State,,LIB,John S. Buckley,9
Wayne,17,Secretary of State,,REP,Mac Warner,178
Wayne,17,Secretary of State,,DEM,Natalie Tennant,182
Wayne,17,Secretary of State,,LIB,John S. Buckley,13
Wayne,18,Secretary of State,,REP,Mac Warner,157
Wayne,18,Secretary of State,,DEM,Natalie Tennant,185
Wayne,18,Secretary of State,,LIB,John S. Buckley,20
Wayne,19,Secretary of State,,REP,Mac Warner,266
Wayne,19,Secretary of State,,DEM,Natalie Tennant,246
Wayne,19,Secretary of State,,LIB,John S. Buckley,23
Wayne,20,Secretary of State,,REP,Mac Warner,137
Wayne,20,Secretary of State,,DEM,Natalie Tennant,204
Wayne,20,Secretary of State,,LIB,John S. Buckley,9
Wayne,21,Secretary of State,,REP,Mac Warner,130
Wayne,21,Secretary of State,,DEM,Natalie Tennant,123
Wayne,21,Secretary of State,,LIB,John S. Buckley,8
Wayne,22,Secretary of State,,REP,Mac Warner,192
Wayne,22,Secretary of State,,DEM,Natalie Tennant,202
Wayne,22,Secretary of State,,LIB,John S. Buckley,16
Wayne,30,Secretary of State,,REP,Mac Warner,235
Wayne,30,Secretary of State,,DEM,Natalie Tennant,270
Wayne,30,Secretary of State,,LIB,John S. Buckley,21
Wayne,31,Secretary of State,,REP,Mac Warner,102
Wayne,31,Secretary of State,,DEM,Natalie Tennant,108
Wayne,31,Secretary of State,,LIB,John S. Buckley,5
Wayne,34,Secretary of State,,REP,Mac Warner,103
Wayne,34,Secretary of State,,DEM,Natalie Tennant,162
Wayne,34,Secretary of State,,LIB,John S. Buckley,12
Wayne,36,Secretary of State,,REP,Mac Warner,160
Wayne,36,Secretary of State,,DEM,Natalie Tennant,199
Wayne,36,Secretary of State,,LIB,John S. Buckley,12
Wayne,37,Secretary of State,,REP,Mac Warner,125
Wayne,37,Secretary of State,,DEM,Natalie Tennant,147
Wayne,37,Secretary of State,,LIB,John S. Buckley,8
Wayne,41,Secretary of State,,REP,Mac Warner,84
Wayne,41,Secretary of State,,DEM,Natalie Tennant,132
Wayne,41,Secretary of State,,LIB,John S. Buckley,4
Wayne,42,Secretary of State,,REP,Mac Warner,49
Wayne,42,Secretary of State,,DEM,Natalie Tennant,105
Wayne,42,Secretary of State,,LIB,John S. Buckley,7
Wayne,45,Secretary of State,,REP,Mac Warner,88
Wayne,45,Secretary of State,,DEM,Natalie Tennant,162
Wayne,45,Secretary of State,,LIB,John S. Buckley,19
Wayne,48,Secretary of State,,REP,Mac Warner,249
Wayne,48,Secretary of State,,DEM,Natalie Tennant,283
Wayne,48,Secretary of State,,LIB,John S. Buckley,31
Wayne,49,Secretary of State,,REP,Mac Warner,273
Wayne,49,Secretary of State,,DEM,Natalie Tennant,343
Wayne,49,Secretary of State,,LIB,John S. Buckley,28
Wayne,50,Secretary of State,,REP,Mac Warner,160
Wayne,50,Secretary of State,,DEM,Natalie Tennant,240
Wayne,50,Secretary of State,,LIB,John S. Buckley,19
Wayne,51,Secretary of State,,REP,Mac Warner,190
Wayne,51,Secretary of State,,DEM,Natalie Tennant,275
Wayne,51,Secretary of State,,LIB,John S. Buckley,29
Wayne,52,Secretary of State,,REP,Mac Warner,103
Wayne,52,Secretary of State,,DEM,Natalie Tennant,98
Wayne,52,Secretary of State,,LIB,John S. Buckley,17
Wayne,53,Secretary of State,,REP,Mac Warner,227
Wayne,53,Secretary of State,,DEM,Natalie Tennant,212
Wayne,53,Secretary of State,,LIB,John S. Buckley,23
Wayne,54,Secretary of State,,REP,Mac Warner,114
Wayne,54,Secretary of State,,DEM,Natalie Tennant,187
Wayne,54,Secretary of State,,LIB,John S. Buckley,19
Wayne,56,Secretary of State,,REP,Mac Warner,292
Wayne,56,Secretary of State,,DEM,Natalie Tennant,318
Wayne,56,Secretary of State,,LIB,John S. Buckley,20
Wayne,57,Secretary of State,,REP,Mac Warner,163
Wayne,57,Secretary of State,,DEM,Natalie Tennant,195
Wayne,57,Secretary of State,,LIB,John S. Buckley,16
Wayne,59,Secretary of State,,REP,Mac Warner,177
Wayne,59,Secretary of State,,DEM,Natalie Tennant,242
Wayne,59,Secretary of State,,LIB,John S. Buckley,30
Wayne,60,Secretary of State,,REP,Mac Warner,155
Wayne,60,Secretary of State,,DEM,Natalie Tennant,232
Wayne,60,Secretary of State,,LIB,John S. Buckley,18
Wayne,61,Secretary of State,,REP,Mac Warner,116
Wayne,61,Secretary of State,,DEM,Natalie Tennant,192
Wayne,61,Secretary of State,,LIB,John S. Buckley,18
Wayne,62,Secretary of State,,REP,Mac Warner,274
Wayne,62,Secretary of State,,DEM,Natalie Tennant,308
Wayne,62,Secretary of State,,LIB,John S. Buckley,27
Wayne,63,Secretary of State,,REP,Mac Warner,102
Wayne,63,Secretary of State,,DEM,Natalie Tennant,140
Wayne,63,Secretary of State,,LIB,John S. Buckley,14
Wayne,Total,Secretary of State,,REP,Mac Warner,6090
Wayne,Total,Secretary of State,,DEM,Natalie Tennant,7405
Wayne,Total,Secretary of State,,LIB,John S. Buckley,621
Wayne,1,Auditor,,REP,John “Jeb” Mccuskey,411
Wayne,1,Auditor,,DEM,Mary Ann Claytor,182
Wayne,1,Auditor,,LIB,Brenton Ricketts,28
Wayne,5,Auditor,,REP,John “Jeb” Mccuskey,277
Wayne,5,Auditor,,DEM,Mary Ann Claytor,153
Wayne,5,Auditor,,LIB,Brenton Ricketts,20
Wayne,6,Auditor,,REP,John “Jeb” Mccuskey,111
Wayne,6,Auditor,,DEM,Mary Ann Claytor,74
Wayne,6,Auditor,,LIB,Brenton Ricketts,5
Wayne,11,Auditor,,REP,John “Jeb” Mccuskey,121
Wayne,11,Auditor,,DEM,Mary Ann Claytor,106
Wayne,11,Auditor,,LIB,Brenton Ricketts,8
Wayne,12,Auditor,,REP,John “Jeb” Mccuskey,127
Wayne,12,Auditor,,DEM,Mary Ann Claytor,118
Wayne,12,Auditor,,LIB,Brenton Ricketts,9
Wayne,13,Auditor,,REP,John “Jeb” Mccuskey,232
Wayne,13,Auditor,,DEM,Mary Ann Claytor,177
Wayne,13,Auditor,,LIB,Brenton Ricketts,18
Wayne,14,Auditor,,REP,John “Jeb” Mccuskey,432
Wayne,14,Auditor,,DEM,Mary Ann Claytor,255
Wayne,14,Auditor,,LIB,Brenton Ricketts,35
Wayne,16,Auditor,,REP,John “Jeb” Mccuskey,147
Wayne,16,Auditor,,DEM,Mary Ann Claytor,84
Wayne,16,Auditor,,LIB,Brenton Ricketts,11
Wayne,17,Auditor,,REP,John “Jeb” Mccuskey,211
Wayne,17,Auditor,,DEM,Mary Ann Claytor,122
Wayne,17,Auditor,,LIB,Brenton Ricketts,12
Wayne,18,Auditor,,REP,John “Jeb” Mccuskey,204
Wayne,18,Auditor,,DEM,Mary Ann Claytor,118
Wayne,18,Auditor,,LIB,Brenton Ricketts,21
Wayne,19,Auditor,,REP,John “Jeb” Mccuskey,334
Wayne,19,Auditor,,DEM,Mary Ann Claytor,154
Wayne,19,Auditor,,LIB,Brenton Ricketts,27
Wayne,20,Auditor,,REP,John “Jeb” Mccuskey,188
Wayne,20,Auditor,,DEM,Mary Ann Claytor,125
Wayne,20,Auditor,,LIB,Brenton Ricketts,10
Wayne,21,Auditor,,REP,John “Jeb” Mccuskey,161
Wayne,21,Auditor,,DEM,Mary Ann Claytor,81
Wayne,21,Auditor,,LIB,Brenton Ricketts,5
Wayne,22,Auditor,,REP,John “Jeb” Mccuskey,223
Wayne,22,Auditor,,DEM,Mary Ann Claytor,153
Wayne,22,Auditor,,LIB,Brenton Ricketts,12
Wayne,30,Auditor,,REP,John “Jeb” Mccuskey,295
Wayne,30,Auditor,,DEM,Mary Ann Claytor,176
Wayne,30,Auditor,,LIB,Brenton Ricketts,16
Wayne,31,Auditor,,REP,John “Jeb” Mccuskey,127
Wayne,31,Auditor,,DEM,Mary Ann Claytor,83
Wayne,31,Auditor,,LIB,Brenton Ricketts,6
Wayne,34,Auditor,,REP,John “Jeb” Mccuskey,126
Wayne,34,Auditor,,DEM,Mary Ann Claytor,121
Wayne,34,Auditor,,LIB,Brenton Ricketts,12
Wayne,36,Auditor,,REP,John “Jeb” Mccuskey,181
Wayne,36,Auditor,,DEM,Mary Ann Claytor,142
Wayne,36,Auditor,,LIB,Brenton Ricketts,17
Wayne,37,Auditor,,REP,John “Jeb” Mccuskey,185
Wayne,37,Auditor,,DEM,Mary Ann Claytor,69
Wayne,37,Auditor,,LIB,Brenton Ricketts,9
Wayne,41,Auditor,,REP,John “Jeb” Mccuskey,97
Wayne,41,Auditor,,DEM,Mary Ann Claytor,104
Wayne,41,Auditor,,LIB,Brenton Ricketts,4
Wayne,42,Auditor,,REP,John “Jeb” Mccuskey,61
Wayne,42,Auditor,,DEM,Mary Ann Claytor,75
Wayne,42,Auditor,,LIB,Brenton Ricketts,7
Wayne,45,Auditor,,REP,John “Jeb” Mccuskey,117
Wayne,45,Auditor,,DEM,Mary Ann Claytor,122
Wayne,45,Auditor,,LIB,Brenton Ricketts,13
Wayne,48,Auditor,,REP,John “Jeb” Mccuskey,297
Wayne,48,Auditor,,DEM,Mary Ann Claytor,181
Wayne,48,Auditor,,LIB,Brenton Ricketts,36
Wayne,49,Auditor,,REP,John “Jeb” Mccuskey,347
Wayne,49,Auditor,,DEM,Mary Ann Claytor,228
Wayne,49,Auditor,,LIB,Brenton Ricketts,23
Wayne,50,Auditor,,REP,John “Jeb” Mccuskey,198
Wayne,50,Auditor,,DEM,Mary Ann Claytor,159
Wayne,50,Auditor,,LIB,Brenton Ricketts,24
Wayne,51,Auditor,,REP,John “Jeb” Mccuskey,243
Wayne,51,Auditor,,DEM,Mary Ann Claytor,172
Wayne,51,Auditor,,LIB,Brenton Ricketts,30
Wayne,52,Auditor,,REP,John “Jeb” Mccuskey,103
Wayne,52,Auditor,,DEM,Mary Ann Claytor,85
Wayne,52,Auditor,,LIB,Brenton Ricketts,21
Wayne,53,Auditor,,REP,John “Jeb” Mccuskey,267
Wayne,53,Auditor,,DEM,Mary Ann Claytor,142
Wayne,53,Auditor,,LIB,Brenton Ricketts,16
Wayne,54,Auditor,,REP,John “Jeb” Mccuskey,147
Wayne,54,Auditor,,DEM,Mary Ann Claytor,129
Wayne,54,Auditor,,LIB,Brenton Ricketts,13
Wayne,56,Auditor,,REP,John “Jeb” Mccuskey,356
Wayne,56,Auditor,,DEM,Mary Ann Claytor,204
Wayne,56,Auditor,,LIB,Brenton Ricketts,30
Wayne,57,Auditor,,REP,John “Jeb” Mccuskey,198
Wayne,57,Auditor,,DEM,Mary Ann Claytor,121
Wayne,57,Auditor,,LIB,Brenton Ricketts,22
Wayne,59,Auditor,,REP,John “Jeb” Mccuskey,231
Wayne,59,Auditor,,DEM,Mary Ann Claytor,165
Wayne,59,Auditor,,LIB,Brenton Ricketts,31
Wayne,60,Auditor,,REP,John “Jeb” Mccuskey,189
Wayne,60,Auditor,,DEM,Mary Ann Claytor,163
Wayne,60,Auditor,,LIB,Brenton Ricketts,20
Wayne,61,Auditor,,REP,John “Jeb” Mccuskey,161
Wayne,61,Auditor,,DEM,Mary Ann Claytor,140
Wayne,61,Auditor,,LIB,Brenton Ricketts,12
Wayne,62,Auditor,,REP,John “Jeb” Mccuskey,334
Wayne,62,Auditor,,DEM,Mary Ann Claytor,192
Wayne,62,Auditor,,LIB,Brenton Ricketts,26
Wayne,63,Auditor,,REP,John “Jeb” Mccuskey,124
Wayne,63,Auditor,,DEM,Mary Ann Claytor,102
Wayne,63,Auditor,,LIB,Brenton Ricketts,18
Wayne,Total,Auditor,,REP,John “Jeb” Mccuskey,7563
Wayne,Total,Auditor,,DEM,Mary Ann Claytor,4977
Wayne,Total,Auditor,,LIB,Brenton Ricketts,627
Wayne,1,State Treasurer,,REP,Ann Urling,285
Wayne,1,State Treasurer,,DEM,John D. Perdue,334
Wayne,1,State Treasurer,,LIB,Michael Allen Young,31
Wayne,5,State Treasurer,,REP,Ann Urling,198
Wayne,5,State Treasurer,,DEM,John D. Perdue,241
Wayne,5,State Treasurer,,LIB,Michael Allen Young,28
Wayne,6,State Treasurer,,REP,Ann Urling,83
Wayne,6,State Treasurer,,DEM,John D. Perdue,109
Wayne,6,State Treasurer,,LIB,Michael Allen Young,10
Wayne,11,State Treasurer,,REP,Ann Urling,75
Wayne,11,State Treasurer,,DEM,John D. Perdue,160
Wayne,11,State Treasurer,,LIB,Michael Allen Young,11
Wayne,12,State Treasurer,,REP,Ann Urling,79
Wayne,12,State Treasurer,,DEM,John D. Perdue,177
Wayne,12,State Treasurer,,LIB,Michael Allen Young,13
Wayne,13,State Treasurer,,REP,Ann Urling,171
Wayne,13,State Treasurer,,DEM,John D. Perdue,232
Wayne,13,State Treasurer,,LIB,Michael Allen Young,26
Wayne,14,State Treasurer,,REP,Ann Urling,328
Wayne,14,State Treasurer,,DEM,John D. Perdue,391
Wayne,14,State Treasurer,,LIB,Michael Allen Young,37
Wayne,16,State Treasurer,,REP,Ann Urling,89
Wayne,16,State Treasurer,,DEM,John D. Perdue,146
Wayne,16,State Treasurer,,LIB,Michael Allen Young,13
Wayne,17,State Treasurer,,REP,Ann Urling,147
Wayne,17,State Treasurer,,DEM,John D. Perdue,205
Wayne,17,State Treasurer,,LIB,Michael Allen Young,11
Wayne,18,State Treasurer,,REP,Ann Urling,158
Wayne,18,State Treasurer,,DEM,John D. Perdue,177
Wayne,18,State Treasurer,,LIB,Michael Allen Young,23
Wayne,19,State Treasurer,,REP,Ann Urling,230
Wayne,19,State Treasurer,,DEM,John D. Perdue,280
Wayne,19,State Treasurer,,LIB,Michael Allen Young,23
Wayne,20,State Treasurer,,REP,Ann Urling,120
Wayne,20,State Treasurer,,DEM,John D. Perdue,205
Wayne,20,State Treasurer,,LIB,Michael Allen Young,13
Wayne,21,State Treasurer,,REP,Ann Urling,115
Wayne,21,State Treasurer,,DEM,John D. Perdue,132
Wayne,21,State Treasurer,,LIB,Michael Allen Young,6
Wayne,22,State Treasurer,,REP,Ann Urling,155
Wayne,22,State Treasurer,,DEM,John D. Perdue,219
Wayne,22,State Treasurer,,LIB,Michael Allen Young,30
Wayne,30,State Treasurer,,REP,Ann Urling,197
Wayne,30,State Treasurer,,DEM,John D. Perdue,306
Wayne,30,State Treasurer,,LIB,Michael Allen Young,16
Wayne,31,State Treasurer,,REP,Ann Urling,87
Wayne,31,State Treasurer,,DEM,John D. Perdue,131
Wayne,31,State Treasurer,,LIB,Michael Allen Young,8
Wayne,34,State Treasurer,,REP,Ann Urling,87
Wayne,34,State Treasurer,,DEM,John D. Perdue,174
Wayne,34,State Treasurer,,LIB,Michael Allen Young,15
Wayne,36,State Treasurer,,REP,Ann Urling,135
Wayne,36,State Treasurer,,DEM,John D. Perdue,211
Wayne,36,State Treasurer,,LIB,Michael Allen Young,21
Wayne,37,State Treasurer,,REP,Ann Urling,124
Wayne,37,State Treasurer,,DEM,John D. Perdue,138
Wayne,37,State Treasurer,,LIB,Michael Allen Young,14
Wayne,41,State Treasurer,,REP,Ann Urling,62
Wayne,41,State Treasurer,,DEM,John D. Perdue,145
Wayne,41,State Treasurer,,LIB,Michael Allen Young,10
Wayne,42,State Treasurer,,REP,Ann Urling,40
Wayne,42,State Treasurer,,DEM,John D. Perdue,118
Wayne,42,State Treasurer,,LIB,Michael Allen Young,8
Wayne,45,State Treasurer,,REP,Ann Urling,76
Wayne,45,State Treasurer,,DEM,John D. Perdue,157
Wayne,45,State Treasurer,,LIB,Michael Allen Young,29
Wayne,48,State Treasurer,,REP,Ann Urling,227
Wayne,48,State Treasurer,,DEM,John D. Perdue,299
Wayne,48,State Treasurer,,LIB,Michael Allen Young,27
Wayne,49,State Treasurer,,REP,Ann Urling,243
Wayne,49,State Treasurer,,DEM,John D. Perdue,351
Wayne,49,State Treasurer,,LIB,Michael Allen Young,38
Wayne,50,State Treasurer,,REP,Ann Urling,136
Wayne,50,State Treasurer,,DEM,John D. Perdue,258
Wayne,50,State Treasurer,,LIB,Michael Allen Young,23
Wayne,51,State Treasurer,,REP,Ann Urling,155
Wayne,51,State Treasurer,,DEM,John D. Perdue,296
Wayne,51,State Treasurer,,LIB,Michael Allen Young,27
Wayne,52,State Treasurer,,REP,Ann Urling,81
Wayne,52,State Treasurer,,DEM,John D. Perdue,121
Wayne,52,State Treasurer,,LIB,Michael Allen Young,19
Wayne,53,State Treasurer,,REP,Ann Urling,184
Wayne,53,State Treasurer,,DEM,John D. Perdue,245
Wayne,53,State Treasurer,,LIB,Michael Allen Young,19
Wayne,54,State Treasurer,,REP,Ann Urling,85
Wayne,54,State Treasurer,,DEM,John D. Perdue,203
Wayne,54,State Treasurer,,LIB,Michael Allen Young,13
Wayne,56,State Treasurer,,REP,Ann Urling,276
Wayne,56,State Treasurer,,DEM,John D. Perdue,297
Wayne,56,State Treasurer,,LIB,Michael Allen Young,31
Wayne,57,State Treasurer,,REP,Ann Urling,145
Wayne,57,State Treasurer,,DEM,John D. Perdue,198
Wayne,57,State Treasurer,,LIB,Michael Allen Young,20
Wayne,59,State Treasurer,,REP,Ann Urling,163
Wayne,59,State Treasurer,,DEM,John D. Perdue,246
Wayne,59,State Treasurer,,LIB,Michael Allen Young,30
Wayne,60,State Treasurer,,REP,Ann Urling,162
Wayne,60,State Treasurer,,DEM,John D. Perdue,200
Wayne,60,State Treasurer,,LIB,Michael Allen Young,21
Wayne,61,State Treasurer,,REP,Ann Urling,122
Wayne,61,State Treasurer,,DEM,John D. Perdue,177
Wayne,61,State Treasurer,,LIB,Michael Allen Young,16
Wayne,62,State Treasurer,,REP,Ann Urling,249
Wayne,62,State Treasurer,,DEM,John D. Perdue,298
Wayne,62,State Treasurer,,LIB,Michael Allen Young,33
Wayne,63,State Treasurer,,REP,Ann Urling,99
Wayne,63,State Treasurer,,DEM,John D. Perdue,135
Wayne,63,State Treasurer,,LIB,Michael Allen Young,19
Wayne,Total,State Treasurer,,REP,Ann Urling,5368
Wayne,Total,State Treasurer,,DEM,John D. Perdue,7712
Wayne,Total,State Treasurer,,LIB,Michael Allen Young,732
Wayne,1,Commissioner of Agriculture,,REP,Kent Leonhardt,366
Wayne,1,Commissioner of Agriculture,,DEM,Walt Helmick,199
Wayne,1,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,61
Wayne,5,Commissioner of Agriculture,,REP,Kent Leonhardt,218
Wayne,5,Commissioner of Agriculture,,DEM,Walt Helmick,179
Wayne,5,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,40
Wayne,6,Commissioner of Agriculture,,REP,Kent Leonhardt,107
Wayne,6,Commissioner of Agriculture,,DEM,Walt Helmick,70
Wayne,6,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,12
Wayne,11,Commissioner of Agriculture,,REP,Kent Leonhardt,102
Wayne,11,Commissioner of Agriculture,,DEM,Walt Helmick,114
Wayne,11,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,23
Wayne,12,Commissioner of Agriculture,,REP,Kent Leonhardt,103
Wayne,12,Commissioner of Agriculture,,DEM,Walt Helmick,130
Wayne,12,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,20
Wayne,13,Commissioner of Agriculture,,REP,Kent Leonhardt,208
Wayne,13,Commissioner of Agriculture,,DEM,Walt Helmick,161
Wayne,13,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,49
Wayne,14,Commissioner of Agriculture,,REP,Kent Leonhardt,386
Wayne,14,Commissioner of Agriculture,,DEM,Walt Helmick,279
Wayne,14,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,58
Wayne,16,Commissioner of Agriculture,,REP,Kent Leonhardt,102
Wayne,16,Commissioner of Agriculture,,DEM,Walt Helmick,110
Wayne,16,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,22
Wayne,17,Commissioner of Agriculture,,REP,Kent Leonhardt,175
Wayne,17,Commissioner of Agriculture,,DEM,Walt Helmick,139
Wayne,17,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,26
Wayne,18,Commissioner of Agriculture,,REP,Kent Leonhardt,169
Wayne,18,Commissioner of Agriculture,,DEM,Walt Helmick,139
Wayne,18,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,37
Wayne,19,Commissioner of Agriculture,,REP,Kent Leonhardt,277
Wayne,19,Commissioner of Agriculture,,DEM,Walt Helmick,191
Wayne,19,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,49
Wayne,20,Commissioner of Agriculture,,REP,Kent Leonhardt,151
Wayne,20,Commissioner of Agriculture,,DEM,Walt Helmick,130
Wayne,20,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,28
Wayne,21,Commissioner of Agriculture,,REP,Kent Leonhardt,136
Wayne,21,Commissioner of Agriculture,,DEM,Walt Helmick,77
Wayne,21,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,16
Wayne,22,Commissioner of Agriculture,,REP,Kent Leonhardt,189
Wayne,22,Commissioner of Agriculture,,DEM,Walt Helmick,165
Wayne,22,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,36
Wayne,30,Commissioner of Agriculture,,REP,Kent Leonhardt,237
Wayne,30,Commissioner of Agriculture,,DEM,Walt Helmick,214
Wayne,30,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,42
Wayne,31,Commissioner of Agriculture,,REP,Kent Leonhardt,107
Wayne,31,Commissioner of Agriculture,,DEM,Walt Helmick,98
Wayne,31,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,9
Wayne,34,Commissioner of Agriculture,,REP,Kent Leonhardt,104
Wayne,34,Commissioner of Agriculture,,DEM,Walt Helmick,131
Wayne,34,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,21
Wayne,36,Commissioner of Agriculture,,REP,Kent Leonhardt,165
Wayne,36,Commissioner of Agriculture,,DEM,Walt Helmick,173
Wayne,36,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,20
Wayne,37,Commissioner of Agriculture,,REP,Kent Leonhardt,156
Wayne,37,Commissioner of Agriculture,,DEM,Walt Helmick,83
Wayne,37,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,21
Wayne,41,Commissioner of Agriculture,,REP,Kent Leonhardt,71
Wayne,41,Commissioner of Agriculture,,DEM,Walt Helmick,123
Wayne,41,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,13
Wayne,42,Commissioner of Agriculture,,REP,Kent Leonhardt,54
Wayne,42,Commissioner of Agriculture,,DEM,Walt Helmick,91
Wayne,42,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,15
Wayne,45,Commissioner of Agriculture,,REP,Kent Leonhardt,93
Wayne,45,Commissioner of Agriculture,,DEM,Walt Helmick,130
Wayne,45,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,24
Wayne,48,Commissioner of Agriculture,,REP,Kent Leonhardt,274
Wayne,48,Commissioner of Agriculture,,DEM,Walt Helmick,215
Wayne,48,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,39
Wayne,49,Commissioner of Agriculture,,REP,Kent Leonhardt,293
Wayne,49,Commissioner of Agriculture,,DEM,Walt Helmick,248
Wayne,49,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,49
Wayne,50,Commissioner of Agriculture,,REP,Kent Leonhardt,165
Wayne,50,Commissioner of Agriculture,,DEM,Walt Helmick,185
Wayne,50,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,34
Wayne,51,Commissioner of Agriculture,,REP,Kent Leonhardt,187
Wayne,51,Commissioner of Agriculture,,DEM,Walt Helmick,213
Wayne,51,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,49
Wayne,52,Commissioner of Agriculture,,REP,Kent Leonhardt,97
Wayne,52,Commissioner of Agriculture,,DEM,Walt Helmick,89
Wayne,52,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,23
Wayne,53,Commissioner of Agriculture,,REP,Kent Leonhardt,225
Wayne,53,Commissioner of Agriculture,,DEM,Walt Helmick,169
Wayne,53,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,31
Wayne,54,Commissioner of Agriculture,,REP,Kent Leonhardt,119
Wayne,54,Commissioner of Agriculture,,DEM,Walt Helmick,150
Wayne,54,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,27
Wayne,56,Commissioner of Agriculture,,REP,Kent Leonhardt,303
Wayne,56,Commissioner of Agriculture,,DEM,Walt Helmick,240
Wayne,56,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,40
Wayne,57,Commissioner of Agriculture,,REP,Kent Leonhardt,166
Wayne,57,Commissioner of Agriculture,,DEM,Walt Helmick,144
Wayne,57,Commissioner of Agriculture,,LIB,Buddy A. Guthrie,29
Wayne,59,Commissioner of Agriculture,,REP,Kent Leonhardt,213
