county,precinct count,2000 primary,2000 general,2002 primary,2002 general,2004 primary,2004 general,2006 primary,2006 general,2008 primary,2008 general,2010 primary,2010 general,2012 primary,2012 general,2014 primary,2014 general,2016 primary,2016 general
Barbour,23,,,,,,,,,,done,,,,,,,,
Berkeley,66,,,,,,,,,,done,,,,,,,,
Boone,37,,,,,,,,,,done,,,,,,,,
Braxton,22,,,,,,,,,,done,,,,,,,,
Brooke,,,,,,,,,,,,,,,,,,,
Cabell,72,,,,,,,,,,done,,,,,,,,done
Calhoun,10,,,,,,,,,,done,,,,,,,,
Clay,13,,,,,,,,,,done,,,,,,,,
Doddridge,,,,,,,,,,,,,,,,,,,
Fayette,39,,,,,,,,,,done,,,,,,,,
Gilmer,5,,,,,,,,,,done,,,,,,,,
Grant,15,,,,,,,,,,done,,,,,,,,
Greenbrier,30,,,,,,,,,,done,,,,,,,,
Hampshire,23,,,,,,,,,,done,,,,,,,,
Hancock,,,,,,,,,,,,,,,,,,,
Hardy,,,,,,,,,,,,,,,,,,,
Harrison,79,,,,,,,,,,done,,,,,,,,
Jackson,36,,,,,,,,,,done,,done,,,,,,
Jefferson,31,,,,,,,,,,done,,,,,,,,
Kanawha,160,,,,,,,,,,done,,,,done,,,,done
Lewis,24,,,,,,,,,,done,,,,,,,,
Lincoln,,,,,,,,,,,,,,,,,,,
Logan,35,,,,,,,,,,done,,,,,,,,
Marion,81,,,,,,,,,,done,,,,,,,,
Marshall,43,,,,,,,,,,done,,,,,,,,done
Mason,27,,,,,,,,,,done,,,,,,,,
McDowell,43,,,,,,,,,,done,,,,,,,,
Mercer,60,,,,,,,,,,done,,,,,,,,
Mineral,,,,,,,,,,,,,,,,,,,
Mingo,39,,,,,,,,,,done,,,,,,,,
Monongalia,72,,,,,,,,,,done,,,,,,,,
Monroe,18,,,,,,,,,,done,,,,,,,,
Morgan,,,,,,,,,,,,,,,,,,,
Nicholas,28,,,,,,,,,,done,,,,,,,,done
Ohio,39,,,,,,,,,,done,,,,,,,,
Pendleton,12,,,,,,,,,,done,,,,,,,,
Pleasants,11,,,,,,,,,,done,,,,,,,,
Pocahontas,15,,,,,,,,,,done,,,,,,,,
Preston,33,,,,,,,,,,done,,,,,,,,
Putnam,38,,,,,,,,,,done,,,,,,,,
Raleigh,62,,,,,,,,,,done,,,,,,,,
Randolph,42,,,,,,,,,,done,,,,,,,,
Ritchie,15,,,,,,,,,,done,,,,,,,,
Roane,20,,,,,,,,,,done,,,,,,,,
Summers,15,,,,,,,,,,done,,,,,,,,
Taylor,16,,,,,,,,,,done,,,,,,,,
Tucker,11,,,,,,,,,,done,,,,,,,,
Tyler,12,,,,,,,,,,done,,,,,,,,
Upshur,22,,,,,,,,,,done,,,,,,,,
Wayne,37,,,,,,,,,,done,,,,,,,,done
Webster,14,,,,,,,,,,done,done,done,,,,,,done
Wetzel,1,,,,,,,,,,done,,,,,,,,
Wirt,7,,,,,,,,,,done,,,,,,,,
Wood,58,,,,,,,,,,done,,done,,,,,,
Wyoming,34,,,,,,,,,,done,,,,,,,,
,,,,,,,,,,,,,,,,,,,